resample_index,matched_early_ap50,reliability_p015_ap50,diff_reliability_minus_early_ap50,matched_early_ap75,reliability_p015_ap75,diff_reliability_minus_early_ap75,matched_early_f1,reliability_p015_f1,diff_reliability_minus_early_f1
439,0.9422046653821949,0.9614138688600818,0.019209203477886905,0.8187737429801101,0.8761896065151684,0.05741586353505834,0.8951472732258977,0.9147433225555894,0.019596049329691723
440,0.9375758830670946,0.9570820084463559,0.01950612537926133,0.8148117212276105,0.8746992889726366,0.05988756774502613,0.8916049600028169,0.9114364185546817,0.019831458551864856
441,0.9380261542443199,0.9571526004962889,0.01912644625196902,0.8168781981790139,0.8734879653292158,0.05660976715020194,0.8921113589474516,0.9125519626207899,0.02044060367333822
442,0.9431081698186502,0.9602341802314907,0.017126010412840453,0.8236106390486082,0.8791585024795646,0.05554786343095641,0.8963255145211926,0.9156513920948528,0.019325877573660222
443,0.9426698787959713,0.9592129401649943,0.01654306136902295,0.8329737246936131,0.8817316646884612,0.04875793999484812,0.8946010221177223,0.9139004227132816,0.019299400595559346
444,0.9426656163704921,0.9602882348306552,0.01762261846016311,0.8244564510047536,0.8787983031219244,0.0543418521171708,0.8961115082608486,0.9154665948821454,0.019355086621296813
445,0.9409683929296238,0.9574160648519336,0.016447671922309892,0.8248455595900586,0.8790178756585482,0.0541723160684896,0.897691560702139,0.912653143199103,0.014961582496963999
446,0.9398718556704816,0.9583018951800966,0.01843003950961497,0.818185356537722,0.8740101018229691,0.05582474528524717,0.8929725924994412,0.9124296645267367,0.01945707202729552
447,0.9436486144767384,0.9597346291219468,0.016086014645208424,0.8226690492381862,0.8776359748277159,0.05496692558952976,0.8981975353998146,0.9150939934228037,0.016896458022989114
448,0.9395012833160484,0.960049419891404,0.02054813657535559,0.8210728383429412,0.8799925462451517,0.05891970790221046,0.8936444947014608,0.9153040164949581,0.021659521793497283
449,0.9370877186938029,0.9557914584699687,0.018703739776165795,0.818685457299507,0.8705851893930094,0.051899732093502404,0.8924387436781832,0.9129142436185569,0.020475499940373676
450,0.9393344085391432,0.9595796453911257,0.02024523685198254,0.8131710004215618,0.8722870109961204,0.05911601057455862,0.8930840123910939,0.9143191199673297,0.021235107576235812
451,0.9401486763803564,0.9585575290885018,0.018408852708145407,0.8248543563735762,0.8804210158339061,0.055566659460329904,0.8913853480993701,0.9138976212526024,0.022512273153232343
