run_id,variant,model,seed,training_modality_dropout,condition,ap50_95,ap50,ap75,ar100,images,gt_boxes,detections,runtime_seconds,checkpoint_sha256,weights,split_sha256,removal_operator
ra_no_moddrop_seed1,ra_no_moddrop,reliability,1,0.0,no_event,0.2976350514390921,0.4715924837952407,0.3113884977307596,0.40688597238793245,2213,5867,221300,68.00661015510559,0f936e657b9a4cc83da6fc3f543d7f28ba72e8b61fc5a0bd60f9bff1159845ec,E:\RepViT-main\runs\v48_complete_ablation\training\ra_no_moddrop_seed1\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
ra_no_moddrop_seed2,ra_no_moddrop,reliability,2,0.0,full,0.7307856510139307,0.9472228370043237,0.8739393367507124,0.7971194818476223,2213,5867,221300,66.69933128356934,5968bd0509826dc04bde8e59e0d227812be3a3f805fbfee4559e119c441a4875,E:\RepViT-main\runs\v48_complete_ablation\training\ra_no_moddrop_seed2\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
ra_no_moddrop_seed2,ra_no_moddrop,reliability,2,0.0,no_rgb,0.48469092887560344,0.6712407010878095,0.559556062460897,0.5790693710584626,2213,5867,221300,67.924161195755,5968bd0509826dc04bde8e59e0d227812be3a3f805fbfee4559e119c441a4875,E:\RepViT-main\runs\v48_complete_ablation\training\ra_no_moddrop_seed2\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
ra_no_moddrop_seed2,ra_no_moddrop,reliability,2,0.0,no_thermal,0.26370295720257564,0.34247090228339333,0.31079498666680483,0.30400545423555486,2213,5867,221300,68.47402024269104,5968bd0509826dc04bde8e59e0d227812be3a3f805fbfee4559e119c441a4875,E:\RepViT-main\runs\v48_complete_ablation\training\ra_no_moddrop_seed2\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
ra_no_moddrop_seed2,ra_no_moddrop,reliability,2,0.0,no_event,0.3217440428542034,0.4978333910606662,0.3395393706507019,0.47658087608658606,2213,5867,221300,67.77737760543823,5968bd0509826dc04bde8e59e0d227812be3a3f805fbfee4559e119c441a4875,E:\RepViT-main\runs\v48_complete_ablation\training\ra_no_moddrop_seed2\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
reliability_p015_seed0,ra_full_p015,reliability,0,0.15,full,0.7279727964969943,0.9540030855617299,0.8913258364292899,0.7925345150843702,2213,5867,221300,66.50736546516418,4284aaa188cb7f065a01b6cf32b78265ab937da0de2d3423d4594d2102787436,E:\RepViT-main\runs\v40_expanded_adjacency_v2_compute_minimized\reliability_p015_seed0\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
reliability_p015_seed0,ra_full_p015,reliability,0,0.15,no_rgb,0.6182581682820617,0.8988913005904628,0.7084650068971532,0.7168058633032215,2213,5867,221300,67.89842939376831,4284aaa188cb7f065a01b6cf32b78265ab937da0de2d3423d4594d2102787436,E:\RepViT-main\runs\v40_expanded_adjacency_v2_compute_minimized\reliability_p015_seed0\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
reliability_p015_seed0,ra_full_p015,reliability,0,0.15,no_thermal,0.4178177221553632,0.7156976079042021,0.4167800601440709,0.5626384864496335,2213,5867,221300,121.1650218963623,4284aaa188cb7f065a01b6cf32b78265ab937da0de2d3423d4594d2102787436,E:\RepViT-main\runs\v40_expanded_adjacency_v2_compute_minimized\reliability_p015_seed0\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
reliability_p015_seed0,ra_full_p015,reliability,0,0.15,no_event,0.7279403040917343,0.9548431151763989,0.8872430255109175,0.7909664223623658,2213,5867,221300,95.51013517379761,4284aaa188cb7f065a01b6cf32b78265ab937da0de2d3423d4594d2102787436,E:\RepViT-main\runs\v40_expanded_adjacency_v2_compute_minimized\reliability_p015_seed0\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
reliability_p015_seed1,ra_full_p015,reliability,1,0.15,full,0.7228954748642633,0.9515378011699295,0.8742753414762607,0.7911539117095618,2213,5867,221300,66.64822435379028,a59366dd0687754577d23d3e21358127199345d4ebf3a55a06472b933b57813d,E:\RepViT-main\runs\v41_q1_upgrade\seed1\reliability_p015_seed1\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
reliability_p015_seed1,ra_full_p015,reliability,1,0.15,no_rgb,0.6241126724615593,0.8914823722320158,0.7205280029917129,0.7255837736492244,2213,5867,221300,67.79240703582764,a59366dd0687754577d23d3e21358127199345d4ebf3a55a06472b933b57813d,E:\RepViT-main\runs\v41_q1_upgrade\seed1\reliability_p015_seed1\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
reliability_p015_seed1,ra_full_p015,reliability,1,0.15,no_thermal,0.396856186096448,0.6860869736565712,0.39241610399469207,0.5617862621441965,2213,5867,221300,67.76312923431396,a59366dd0687754577d23d3e21358127199345d4ebf3a55a06472b933b57813d,E:\RepViT-main\runs\v41_q1_upgrade\seed1\reliability_p015_seed1\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
reliability_p015_seed1,ra_full_p015,reliability,1,0.15,no_event,0.7093180880644352,0.9494525979896586,0.8576457166644229,0.7803136185444008,2213,5867,221300,67.11757922172546,a59366dd0687754577d23d3e21358127199345d4ebf3a55a06472b933b57813d,E:\RepViT-main\runs\v41_q1_upgrade\seed1\reliability_p015_seed1\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
reliability_p015_seed2,ra_full_p015,reliability,2,0.15,full,0.6959483509283999,0.9546947423185473,0.8530279126018335,0.7640190898244418,2213,5867,221300,66.68280267715454,27affa96df1b3baad3df6f0a591e0599c1f5c0f77f91fad9fdaa408e549f1415,E:\RepViT-main\runs\v40_expanded_adjacency_v2_compute_minimized\reliability_p015_seed2\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
reliability_p015_seed2,ra_full_p015,reliability,2,0.15,no_rgb,0.5994730660024622,0.8906216718571789,0.6978195872854993,0.7036645645133799,2213,5867,221300,67.8313217163086,27affa96df1b3baad3df6f0a591e0599c1f5c0f77f91fad9fdaa408e549f1415,E:\RepViT-main\runs\v40_expanded_adjacency_v2_compute_minimized\reliability_p015_seed2\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
reliability_p015_seed2,ra_full_p015,reliability,2,0.15,no_thermal,0.3738285322796887,0.6863921587200186,0.3621801457685867,0.5357081983978184,2213,5867,221300,67.4125816822052,27affa96df1b3baad3df6f0a591e0599c1f5c0f77f91fad9fdaa408e549f1415,E:\RepViT-main\runs\v40_expanded_adjacency_v2_compute_minimized\reliability_p015_seed2\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
reliability_p015_seed2,ra_full_p015,reliability,2,0.15,no_event,0.6834737350314783,0.9527555287792601,0.8257273344916257,0.7557184250894836,2213,5867,221300,67.83475017547607,27affa96df1b3baad3df6f0a591e0599c1f5c0f77f91fad9fdaa408e549f1415,E:\RepViT-main\runs\v40_expanded_adjacency_v2_compute_minimized\reliability_p015_seed2\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
