sample_index,sample_id,component_id,rgb_weight,thermal_weight,event_weight,seed
72,frame_00425,v40c_00263,0.6590183973312378,0.13336016237735748,0.2076214998960495,0
73,frame_00426,v40c_00263,0.7729576826095581,0.05536806955933571,0.17167425155639648,0
74,frame_00427,v40c_00263,0.7621738314628601,0.06173955276608467,0.1760866940021515,0
75,frame_00428,v40c_00263,0.7553116083145142,0.06622268259525299,0.17846570909023285,0
76,frame_00429,v40c_00263,0.7663962841033936,0.05938112363219261,0.1742226630449295,0
77,frame_00430,v40c_00263,0.755408525466919,0.06629636883735657,0.1782950758934021,0
78,frame_00431,v40c_00263,0.785099983215332,0.048236191272735596,0.16666385531425476,0
79,frame_00448,v40c_00264,0.7462515830993652,0.07146015018224716,0.1822882741689682,0
80,frame_00449,v40c_00264,0.742560625076294,0.07380041480064392,0.18363900482654572,0
81,frame_00450,v40c_00264,0.7679723501205444,0.05784983187913895,0.17417781054973602,0
82,frame_00451,v40c_00264,0.668350338935852,0.12543459236621857,0.206215038895607,0
83,frame_00452,v40c_00265,0.7784729599952698,0.051343776285648346,0.17018334567546844,0
84,frame_00453,v40c_00266,0.673386812210083,0.12149578332901001,0.2051173746585846,0
85,frame_00454,v40c_00266,0.7764272689819336,0.05227041244506836,0.17130236327648163,0
86,frame_00455,v40c_00266,0.7262264490127563,0.08410811424255371,0.18966543674468994,0
87,frame_00456,v40c_00266,0.8047783374786377,0.03621113300323486,0.15901054441928864,0
88,frame_00457,v40c_00266,0.7375463843345642,0.07664403319358826,0.18580956757068634,0
89,frame_00458,v40c_00265,0.7434242963790894,0.0727667361497879,0.18380896747112274,0
90,frame_00459,v40c_00265,0.6829186677932739,0.11454430967569351,0.20253702998161316,0
91,frame_00460,v40c_00265,0.7979083061218262,0.04000326246023178,0.16208845376968384,0
92,frame_00461,v40c_00265,0.7513219118118286,0.06770855188369751,0.18096958100795746,0
93,frame_00462,v40c_00266,0.7786741256713867,0.05092666670680046,0.17039921879768372,0
94,frame_00463,v40c_00267,0.7857154607772827,0.047021571546792984,0.1672629565000534,0
95,frame_00464,v40c_00267,0.7729566097259521,0.05438625440001488,0.17265711724758148,0
96,frame_00465,v40c_00266,0.7994115352630615,0.039126064628362656,0.16146238148212433,0
97,frame_00466,v40c_00266,0.7409840822219849,0.0744754821062088,0.18454037606716156,0
98,frame_00467,v40c_00268,0.6799262762069702,0.11646644026041031,0.20360729098320007,0
99,frame_00468,v40c_00268,0.7785683870315552,0.05112595856189728,0.17030563950538635,0
100,frame_00469,v40c_00266,0.7886127829551697,0.0453188382089138,0.16606839001178741,0
101,frame_00470,v40c_00269,0.7266198992729187,0.08392465859651566,0.18945541977882385,0
102,frame_00471,v40c_00270,0.7365671992301941,0.07739860564470291,0.1860341727733612,0
103,frame_00472,v40c_00264,0.7944166660308838,0.04215672239661217,0.16342656314373016,0
104,frame_00473,v40c_00269,0.749659538269043,0.06905212998390198,0.18128825724124908,0
105,frame_00474,v40c_00269,0.7845774292945862,0.04803617298603058,0.16738633811473846,0
106,frame_00475,v40c_00271,0.6981291770935059,0.10367098450660706,0.1981998085975647,0
107,frame_00476,v40c_00271,0.7837948203086853,0.04854810610413551,0.1676570326089859,0
108,frame_00477,v40c_00271,0.7927776575088501,0.0430188812315464,0.1642034351825714,0
109,frame_00478,v40c_00271,0.7550207376480103,0.06554959714412689,0.17942960560321808,0
110,frame_00479,v40c_00271,0.7550984025001526,0.06575819849967957,0.17914336919784546,0
111,frame_00480,v40c_00271,0.7880684733390808,0.04609707370400429,0.16583453118801117,0
112,frame_00481,v40c_00271,0.7073990702629089,0.09717196226119995,0.1954289823770523,0
113,frame_00482,v40c_00271,0.732861340045929,0.08002928644418716,0.18710938096046448,0
