sample_index,sample_id,component_id,rgb_mean_luminance,rgb_std_luminance,rgb_entropy32_normalized,thermal_mean,thermal_std,thermal_entropy32_normalized,event_nonzero_fraction,event_mean_magnitude,event_entropy32_normalized
1013,nframe_01442,v40c_02576,0.05032551661133766,0.07219596207141876,0.3935503661632538,0.45037516951560974,0.18265046179294586,0.8677470088005066,1.0,0.1452544629573822,0.004400114994496107
1014,nframe_01443,v40c_02577,0.050181757658720016,0.07212743908166885,0.3921443223953247,0.45200634002685547,0.18322435021400452,0.8680904507637024,1.0,0.1452571600675583,0.004019367042928934
1015,nframe_01444,v40c_02578,0.050095364451408386,0.07199420779943466,0.39282315969467163,0.4537438452243805,0.18391026556491852,0.8691261410713196,1.0,0.14527404308319092,0.004321388900279999
1016,nframe_01445,v40c_02578,0.050095364451408386,0.07199420779943466,0.39282315969467163,0.45476070046424866,0.18417270481586456,0.8695988655090332,1.0,0.145210400223732,0.0034078657627105713
1017,nframe_01446,v40c_02577,0.04991583526134491,0.07144666463136673,0.39179205894470215,0.4507765471935272,0.18476393818855286,0.8702634572982788,1.0,0.14525438845157623,0.0041955094784498215
1018,nframe_01447,v40c_02577,0.04991583526134491,0.07144666463136673,0.39179205894470215,0.45052582025527954,0.1846437305212021,0.8695042729377747,1.0,0.14524193108081818,0.004580835811793804
1019,nframe_01448,v40c_02577,0.049710825085639954,0.07113748788833618,0.39088451862335205,0.44988444447517395,0.18397913873195648,0.8686913251876831,1.0,0.14522118866443634,0.004015316721051931
1020,nframe_01449,v40c_02577,0.0494161956012249,0.07027995586395264,0.3905327022075653,0.4509839117527008,0.18407338857650757,0.8674505949020386,1.0,0.14520907402038574,0.0028081643395125866
1021,nframe_01450,v40c_02579,0.049068424850702286,0.0692034438252449,0.38881048560142517,0.44853460788726807,0.18572449684143066,0.8700311779975891,1.0,0.14515109360218048,0.0017307910602539778
1022,nframe_01451,v40c_02579,0.04910678043961525,0.06901207566261292,0.3888729512691498,0.4471539855003357,0.18658745288848877,0.8709496259689331,1.0,0.1451822817325592,0.001997236395254731
1023,nframe_01452,v40c_02579,0.04908183962106705,0.06886223703622818,0.3887036442756653,0.4462627172470093,0.18807418644428253,0.8725169897079468,1.0,0.14521506428718567,0.0029390554409474134
1024,nframe_01453,v40c_02580,0.04892308637499809,0.0686856284737587,0.3880435526371002,0.4474928081035614,0.189341202378273,0.8745542764663696,1.0,0.14515338838100433,0.0015909526264294982
1025,nframe_01454,v40c_02580,0.04890057444572449,0.06863690167665482,0.3884485960006714,0.4466075599193573,0.18978828191757202,0.8739559054374695,1.0,0.14517435431480408,0.0021474636159837246
