sample_index,sample_id,component_id,rgb_weight,thermal_weight,event_weight,seed
636,frame_02260,v40c_01271,0.7436469793319702,0.0722915530204773,0.1840614676475525,0
637,frame_02261,v40c_01272,0.7738321423530579,0.05468975007534027,0.17147812247276306,0
638,frame_02262,v40c_01273,0.6940515041351318,0.10470050573348999,0.20124799013137817,0
639,frame_02263,v40c_01273,0.7033726572990417,0.09853694587945938,0.1980903595685959,0
640,frame_02264,v40c_01274,0.7339609265327454,0.07819129526615143,0.1878478080034256,0
641,frame_02265,v40c_01274,0.8011809587478638,0.03979767486453056,0.15902137756347656,0
642,frame_02266,v40c_01275,0.7934675812721252,0.0438118539750576,0.16272059082984924,0
643,frame_02267,v40c_01276,0.675574541091919,0.1175931990146637,0.20683220028877258,0
644,frame_02268,v40c_01277,0.7690783143043518,0.05731195583939552,0.1736096888780594,0
645,frame_02269,v40c_01278,0.8031373023986816,0.038818929344415665,0.158043771982193,0
646,frame_02270,v40c_01279,0.6954966187477112,0.10381656885147095,0.20068684220314026,0
647,frame_02271,v40c_01279,0.7674698233604431,0.05840364843606949,0.174126535654068,0
648,frame_02272,v40c_01279,0.7458386421203613,0.07114919275045395,0.1830121874809265,0
649,frame_02273,v40c_01279,0.7051042318344116,0.09732408076524734,0.19757169485092163,0
650,frame_02274,v40c_01279,0.6663950681686401,0.1245025023818016,0.20910240709781647,0
651,frame_02275,v40c_01279,0.7599036693572998,0.062869593501091,0.17722675204277039,0
652,frame_02276,v40c_01279,0.7513203620910645,0.06789164245128632,0.18078802525997162,0
653,frame_02277,v40c_01280,0.7863680124282837,0.04794887453317642,0.16568315029144287,0
654,frame_02278,v40c_01281,0.7885314226150513,0.04672858864068985,0.16473999619483948,0
655,frame_02279,v40c_01282,0.8101736903190613,0.03544931858778,0.15437698364257812,0
656,frame_02280,v40c_01282,0.7977705597877502,0.04191556200385094,0.16031378507614136,0
657,frame_02281,v40c_01283,0.7579329013824463,0.06430388242006302,0.17776323854923248,0
658,frame_02282,v40c_01284,0.5623036026954651,0.20678864419460297,0.23090767860412598,0
659,frame_02283,v40c_01284,0.7443188428878784,0.07226058095693588,0.18342053890228271,0
660,frame_02284,v40c_01284,0.7158481478691101,0.09039995819330215,0.19375190138816833,0
661,frame_02285,v40c_01285,0.8058260679244995,0.03788440674543381,0.15628957748413086,0
662,frame_02286,v40c_01286,0.764825165271759,0.060326144099235535,0.17484866082668304,0
663,frame_02287,v40c_01287,0.7974047660827637,0.04231119155883789,0.16028399765491486,0
664,frame_02288,v40c_01288,0.7924781441688538,0.044951289892196655,0.16257058084011078,0
665,frame_02289,v40c_01289,0.7411998510360718,0.07447198778390884,0.1843281239271164,0
666,frame_02290,v40c_01289,0.5886914134025574,0.18482168018817902,0.2264869511127472,0
667,frame_02291,v40c_01290,0.8033685684204102,0.03903685137629509,0.15759457647800446,0
668,frame_02292,v40c_01290,0.7960858941078186,0.04288610443472862,0.16102804243564606,0
669,frame_02293,v40c_01290,0.7636988759040833,0.060925573110580444,0.17537550628185272,0
670,frame_02294,v40c_01290,0.7499115467071533,0.0691758245229721,0.18091264367103577,0
671,frame_02295,v40c_01291,0.7587144374847412,0.06385676562786102,0.17742881178855896,0
672,frame_02296,v40c_01292,0.780025839805603,0.05171848088502884,0.1682557314634323,0
673,frame_02297,v40c_01293,0.7781153321266174,0.052942607551813126,0.16894206404685974,0
